Field;Point;Latitude;Longitude;Phosphorus;Potassium;Nitrogen;Acidity;Humus;Calcium;Magnesium;Sulfur;Manganese;Zinc;Copper;Cobalt;Boron;Molybdenum
6;6;56,29858653;40,34153938;139;461;0;6,9;4,8;10;2,4;1,3;2,4;0,25;0,11;0,07;1,06;0,09
7;1;56,29696726;40,35175323;345;919;0;5,9;3,8;10;2,4;1,3;2,4;0,25;0,11;0,07;1,06;0,09
7;2;56,29720539;40,35664558;345;919;0;5,9;3,8;10;2,4;1,3;2,4;0,25;0,11;0,07;1,06;0,09
7;3;56,2987294;40,35621643;345;919;0;5,9;3,8;10;2,4;1,3;2,4;0,25;0,11;0,07;1,06;0,09
7;4;56,29858653;40,35158157;345;919;0;5,9;3,8;10;2,4;1,3;2,4;0,25;0,11;0,07;1,06;0,09
7;5;56,30077719;40,34540176;345;919;0;5,9;3,8;10;2,4;1,3;2,4;0,25;0,11;0,07;1,06;0,09
8;1;56,29725302;40,37295341;148;721,8;0;6,7;4,5;14,3;4,75;5,5;4,75;0,45;0,07;0,07;1,06;0,09
8;2;56,29734827;40,37612915;148;721,8;0;6,7;4,5;14,3;4,75;5,5;4,75;0,45;0,07;0,07;1,06;0,09
8;3;56,29896752;40,37621498;148;721,8;0;6,7;4,5;14,3;4,75;5,5;4,75;0,45;0,07;0,07;1,06;0,09
8;4;56,2989199;40,37269592;148;721,8;0;6,7;4,5;14,3;4,75;5,5;4,75;0,45;0,07;0,07;1,06;0,09
9;1;56,30082481;40,3723526;180;484;0;5,7;3,6;14;5,2;2;5,2;0,48;0,08;0,06;0,86;0,13
9;2;56,30220581;40,37587166;180;484;0;5,7;3,6;14;5,2;2;5,2;0,48;0,08;0,06;0,86;0,13
10;1;56,30339629;40,34540176;198;405;0;5,8;3,2;14;5,2;2;5,2;0,48;0,08;0,06;0,86;0,13
10;2;56,30325344;40,35115242;198;405;0;5,8;3,2;14;5,2;2;5,2;0,48;0,08;0,06;0,86;0,13
10;3;56,30349153;40,35638809;198;405;0;5,8;3,2;14;5,2;2;5,2;0,48;0,08;0,06;0,86;0,13
10;4;56,30387247;40,36213875;198;405;0;5,8;3,2;14;5,2;2;5,2;0,48;0,08;0,06;0,86;0,13
10;5;56,30377724;40,36677361;198;405;0;5,8;3,2;14;5,2;2;5,2;0,48;0,08;0,06;0,86;0,13
10;6;56,30392009;40,37192345;198;405;0;5,8;3,2;14;5,2;2;5,2;0,48;0,08;0,06;0,86;0,13
11;1;56,30558668;40,34548759;162;629;0;6;3,8;13,5;4;2,4;4;0,6;0,07;0,07;0,95;0,09
11;2;56,30558668;40,35132408;162;629;0;6;3,8;13,5;4;2,4;4;0,6;0,07;0,07;0,95;0,09
11;3;56,30568191;40,35595894;162;629;0;6;3,8;13,5;4;2,4;4;0,6;0,07;0,07;0,95;0,09
11;4;56,30577714;40,36188126;162;629;0;6;3,8;13,5;4;2,4;4;0,6;0,07;0,07;0,95;0,09
11;5;56,30582475;40,36660194;162;629;0;6;3,8;13,5;4;2,4;4;0,6;0,07;0,07;0,95;0,09
11;6;56,30587237;40,37166595;162;629;0;6;3,8;13,5;4;2,4;4;0,6;0,07;0,07;0,95;0,09
11;7;56,30587237;40,37612915;162;629;0;6;3,8;13,5;4;2,4;4;0,6;0,07;0,07;0,95;0,09
12;1;56,30930052;40,34553051;163;478;0;5,4;3,8;15;4,5;3;4,5;0,3;0,06;0,07;0,68;0,11
12;2;56,30932433;40,35128117;163;478;0;5,4;3,8;15;4,5;3;4,5;0,3;0,06;0,07;0,68;0,11
12;3;56,30953858;40,35630226;163;478;0;5,4;3,8;15;4,5;3;4,5;0,3;0,06;0,07;0,68;0,11
12;4;56,30953858;40,36128044;163;478;0;5,4;3,8;15;4,5;3;4,5;0,3;0,06;0,07;0,68;0,11
12;5;56,30953858;40,36608696;163;478;0;5,4;3,8;15;4,5;3;4,5;0,3;0,06;0,07;0,68;0,11
12;6;56,30968141;40,37106514;163;478;0;5,4;3,8;15;4,5;3;4,5;0,3;0,06;0,07;0,68;0,11
12;7;56,30972902;40,37587166;163;478;0;5,4;3,8;15;4,5;3;4,5;0,3;0,06;0,07;0,68;0,11
13;1;56,31158579;40,34540176;166;448;0;5,6;3,8;12;3,2;4;3,2;0,35;0,09;0,05;1,12;0,13
13;2;56,31172861;40,35098076;166;448;0;5,6;3,8;12;3,2;4;3,2;0,35;0,09;0,05;1,12;0,13
13;3;56,31177622;40,35630226;166;448;0;5,6;3,8;12;3,2;4;3,2;0,35;0,09;0,05;1,12;0,13
13;4;56,31182383;40,36119461;166;448;0;5,6;3,8;12;3,2;4;3,2;0,35;0,09;0,05;1,12;0,13
13;5;56,31187143;40,36608696;166;448;0;5,6;3,8;12;3,2;4;3,2;0,35;0,09;0,05;1,12;0,13
13;6;56,31191904;40,37097931;166;448;0;5,6;3,8;12;3,2;4;3,2;0,35;0,09;0,05;1,12;0,13
13;7;56,31191904;40,3757;166;448;0;5,6;3,8;12;3,2;4;3,2;0,35;0,09;0,05;1,12;0,13
14;1;56,31548946;40,34514427;160;497;0;5,9;5,8;12;3,5;4,5;3,5;0,65;0,06;0,08;1,08;0,16
14;2;56,31558467;40,3508091;160;497;0;5,9;5,8;12;3,5;4,5;3,5;0,65;0,06;0,08;1,08;0,16
14;3;56,31544186;40,35595894;160;497;0;5,9;5,8;12;3,5;4,5;3,5;0,65;0,06;0,08;1,08;0,16
14;4;56,31558467;40,36102295;160;497;0;5,9;5,8;12;3,5;4,5;3,5;0,65;0,06;0,08;1,08;0,16
14;5;56,31577508;40,36565781;160;497;0;5,9;5,8;12;3,5;4,5;3,5;0,65;0,06;0,08;1,08;0,16
15;1;56,31825036;40,33999443;167,5;797,5;0;5,7;3,6;13,5;7,3;3;7,3;0,37;0,08;0,08;1,18;0,13
15;2;56,31801236;40,34497261;167,5;797,5;0;5,7;3,6;13,5;7,3;3;7,3;0,37;0,08;0,08;1,18;0,13
15;3;56,31820276;40,35072327;167,5;797,5;0;5,7;3,6;13,5;7,3;3;7,3;0,37;0,08;0,08;1,18;0,13
15;4;56,31853596;40,35570145;167,5;797,5;0;5,7;3,6;13,5;7,3;3;7,3;0,37;0,08;0,08;1,18;0,13
15;5;56,31853596;40,36093712;167,5;797,5;0;5,7;3,6;13,5;7,3;3;7,3;0,37;0,08;0,08;1,18;0,13
15;6;56,31863116;40,36522865;167,5;797,5;0;5,7;3,6;13,5;7,3;3;7,3;0,37;0,08;0,08;1,18;0,13
15;7;56,31863116;40,37055016;167,5;797,5;0;5,7;3,6;13,5;7,3;3;7,3;0,37;0,08;0,08;1,18;0,13
15;8;56,31863116;40,37527084;167,5;797,5;0;5,7;3,6;13,5;7,3;3;7,3;0,37;0,08;0,08;1,18;0,13
16;1;56,31810756;40,32917976;123,5;590;0;5,8;3,6;13,5;7,3;3;7,3;0,37;0,08;0,08;1,18;0,13
16;2;56,31953553;40,33175468;123,5;590;0;5,8;3,6;13,5;7,3;3;7,3;0,37;0,08;0,08;1,18;0,13
16;3;56,32048749;40,33226967;123,5;590;0;5,8;3,6;13,5;7,3;3;7,3;0,37;0,08;0,08;1,18;0,13
17;1;56,31358528;40,33982277;463;908;0;7,2;4;13;6,8;4;6,8;0,38;0,1;0,07;1,77;0,13
17;2;56,31553707;40,33973694;463;908;0;7,2;4;13;6,8;4;6,8;0,38;0,1;0,07;1,77;0,13
17;3;56,31539426;40,3354454;463;908;0;7,2;4;13;6,8;4;6,8;0,38;0,1;0,07;1,77;0,13
17;4;56,31527525;40,33218384;463;908;0;7,2;4;13;6,8;4;6,8;0,38;0,1;0,07;1,77;0,13
18;1;56,31144296;40,34008026;191,2;719,8;0;6,1;4;12,3;4,06;3,9;4,06;0,56;0,09;0,06;0,86;0,12
18;2;56,31139535;40,33621788;191,2;719,8;0;6,1;4;12,3;4,06;3,9;4,06;0,56;0,09;0,06;0,86;0,12
18;3;56,31132394;40,33308506;191,2;719,8;0;6,1;4;12,3;4,06;3,9;4,06;0,56;0,09;0,06;0,86;0,12
18;4;56,31315683;40,33578873;191,2;719,8;0;6,1;4;12,3;4,06;3,9;4,06;0,56;0,09;0,06;0,86;0,12
18;5;56,31339486;40,33252716;191,2;719,8;0;6,1;4;12,3;4,06;3,9;4,06;0,56;0,09;0,06;0,86;0,12
19;1;56,30739603;40,34025192;139;920;0;5,8;4,2;14;2,5;1,3;2,5;0,35;0,06;0,06;1,53;0,13
19;2;56,30739603;40,33638954;139;920;0;5,8;4,2;14;2,5;1,3;2,5;0,35;0,06;0,06;1,53;0,13
19;3;56,30732461;40,3340292;139;920;0;5,8;4,2;14;2,5;1,3;2,5;0,35;0,06;0,06;1,53;0,13
19;4;56,3092053;40,34016609;139;920;0;5,8;4,2;14;2,5;1,3;2,5;0,35;0,06;0,06;1,53;0,13
19;5;56,30922911;40,33638954;139;920;0;5,8;4,2;14;2,5;1,3;2,5;0,35;0,06;0,06;1,53;0,13
19;6;56,30922911;40,33377171;139;920;0;5,8;4,2;14;2,5;1,3;2,5;0,35;0,06;0,06;1,53;0,13
20;1;56,3050629;40,33415794;105;528,4;0;6,3;3,8;13,4;4,13;4,4;4,13;0,41;0,06;0,07;1,04;0,12
20;2;56,30515813;40,33733368;105;528,4;0;6,3;3,8;13,4;4,13;4,4;4,13;0,41;0,06;0,07;1,04;0,12
20;3;56,30530098;40,34068108;105;528,4;0;6,3;3,8;13,4;4,13;4,4;4,13;0,41;0,06;0,07;1,04;0,12
21;1;56,30053908;40,33454418;135;723;0;5,8;4,8;11,5;3;1,3;3;0,3;0,08;0,07;1,06;0,07
21;2;56,30072956;40,33759117;135;723;0;5,8;4,8;11,5;3;1,3;3;0,3;0,08;0,07;1,06;0,07
21;3;56,30334867;40,34085274;135;723;0;5,8;4,8;11,5;3;1,3;3;0,3;0,08;0,07;1,06;0,07
21;4;56,30318201;40,33771992;135;723;0;5,8;4,8;11,5;3;1,3;3;0,3;0,08;0,07;1,06;0,07
21;5;56,30299153;40,33450127;135;723;0;5,8;4,8;11,5;3;1,3;3;0,3;0,08;0,07;1,06;0,07
22;1;56,29058478;40,33561707;106;400,2;0;6,1;3,8;13,6;7,78;2,8;7,78;0,28;0,08;0,08;1,55;0,08
22;2;56,29053715;40,33887863;106;400,2;0;6,1;3,8;13,6;7,78;2,8;7,78;0,28;0,08;0,08;1,55;0,08
22;3;56,29072768;40,34248352;106;400,2;0;6,1;3,8;13,6;7,78;2,8;7,78;0,28;0,08;0,08;1,55;0,08
22;4;56,29301406;40,34231186;106;400,2;0;6,1;3,8;13,6;7,78;2,8;7,78;0,28;0,08;0,08;1,55;0,08
22;5;56,2929188;40,33870697;106;400,2;0;6,1;3,8;13,6;7,78;2,8;7,78;0,28;0,08;0,08;1,55;0,08
22;6;56,29287117;40,3354454;106;400,2;0;6,1;3,8;13,6;7,78;2,8;7,78;0,28;0,08;0,08;1,55;0,08
22;7;56,29480019;40,33510208;106;400,2;0;6,1;3,8;13,6;7,78;2,8;7,78;0,28;0,08;0,08;1,55;0,08
22;8;56,29487164;40,33844948;106;400,2;0;6,1;3,8;13,6;7,78;2,8;7,78;0,28;0,08;0,08;1,55;0,08
22;9;56,29691963;40,33802032;106;400,2;0;6,1;3,8;13,6;7,78;2,8;7,78;0,28;0,08;0,08;1,55;0,08
22;10;56,29691963;40,33493042;106;400,2;0;6,1;3,8;13,6;7,78;2,8;7,78;0,28;0,08;0,08;1,55;0,08
23;1;56,28424888;40,3443718;136;550;0;5,8;3,8;14;4,5;4,5;4,5;0,68;0,07;0,08;1,18;0,1
23;2;56,2839392;40,34720421;136;550;0;5,8;3,8;14;4,5;4,5;4,5;0,68;0,07;0,08;1,18;0,1
23;1;56,28353424;40,30394554;136;550;0;5,8;3,8;14;4,5;4,5;4,5;0,68;0,07;0,08;1,18;0,1
23;2;56,28391538;40,30737877;136;550;0;5,8;3,8;14;4,5;4,5;4,5;0,68;0,07;0,08;1,18;0,1
23;3;56,28391538;40,31252861;136;550;0;5,8;3,8;14;4,5;4,5;4,5;0,68;0,07;0,08;1,18;0,1
23;4;56,28389156;40,31626225;136;550;0;5,8;3,8;14;4,5;4,5;4,5;0,68;0,07;0,08;1,18;0,1
23;5;56,28397494;40,320189;136;550;0;5,8;3,8;14;4,5;4,5;4,5;0,68;0,07;0,08;1,18;0,1
23;6;56,28405831;40,3243947;136;550;0;5,8;3,8;14;4,5;4,5;4,5;0,68;0,07;0,08;1,18;0,1
23;7;56,2841536;40,3281498;136;550;0;5,8;3,8;14;4,5;4,5;4,5;0,68;0,07;0,08;1,18;0,1
23;8;56,28424888;40,3357029;136;550;0;5,8;3,8;14;4,5;4,5;4,5;0,68;0,07;0,08;1,18;0,1
24;1;56,28777425;40,32016754;164,8;794,4;0;6,2;3,7;11,5;4,7;4,3;4,7;0,54;0,08;0,06;1,1;0,12
24;2;56,28782189;40,32385826;164,8;794,4;0;6,2;3,7;11,5;4,7;4,3;4,7;0,54;0,08;0,06;1,1;0,12
24;3;56,2879648;40,3278923;164,8;794,4;0;6,2;3,7;11,5;4,7;4,3;4,7;0,54;0,08;0,06;1,1;0,12
24;4;56,29058478;40,3281498;164,8;794,4;0;6,2;3,7;11,5;4,7;4,3;4,7;0,54;0,08;0,06;1,1;0,12
24;5;56,29048951;40,32377243;164,8;794,4;0;6,2;3,7;11,5;4,7;4,3;4,7;0,54;0,08;0,06;1,1;0,12
24;6;56,29034661;40,31999588;164,8;794,4;0;6,2;3,7;11,5;4,7;4,3;4,7;0,54;0,08;0,06;1,1;0,12
25;1;56,2873455;40,30377388;221;628;0;5,9;4,4;14;4,5;0,8;4,5;0,5;0,08;0,07;0,86;0,16
25;2;56,28744078;40,3074646;221;628;0;5,9;4,4;14;4,5;0,8;4,5;0,5;0,08;0,07;0,86;0,16
25;3;56,28782189;40,31235695;221;628;0;5,9;4,4;14;4,5;0,8;4,5;0,5;0,08;0,07;0,86;0,16
25;4;56,28772661;40,31639099;221;628;0;5,9;4,4;14;4,5;0,8;4,5;0,5;0,08;0,07;0,86;0,16
25;5;56,29039424;40,30737877;221;628;0;5,9;4,4;14;4,5;0,8;4,5;0,5;0,08;0,07;0,86;0,16
25;6;56,29025134;40,30360222;221;628;0;5,9;4,4;14;4,5;0,8;4,5;0,5;0,08;0,07;0,86;0,16
26;1;6,292442479;40,30351639;170,5;514,3;0;6;4,6;12;3,5;2;3,5;0,65;0,06;0,08;1,06;0,18
26;2;56,29244248;40,30729294;170,5;514,3;0;6;4,6;12;3,5;2;3,5;0,65;0,06;0,08;1,06;0,18
26;3;56,29444297;40,30343056;170,5;514,3;0;6;4,6;12;3,5;2;3,5;0,65;0,06;0,08;1,06;0,18
27;1;56,29444297;40,30729294;367;55;0;6,1;4;20;6,7;6,1;6,7;0,7;0,06;0,08;0,68;0,09
27;2;56,29249011;40,31184196;367;55;0;6,1;4;20;6,7;6,1;6,7;0,7;0,06;0,08;0,68;0,09
27;3;56,29244248;40,31621933;367;55;0;6,1;4;20;6,7;6,1;6,7;0,7;0,06;0,08;0,68;0,09
27;4;56,29253774;40,31982422;367;55;0;6,1;4;20;6,7;6,1;6,7;0,7;0,06;0,08;0,68;0,09
27;5;56,29263301;40,32360077;367;55;0;6,1;4;20;6,7;6,1;6,7;0,7;0,06;0,08;0,68;0,09
27;6;56,29258537;40,32780647;367;55;0;6,1;4;20;6,7;6,1;6,7;0,7;0,06;0,08;0,68;0,09
28;1;56,29482401;40,31973839;152;358;0;6,1;4;11;6,7;5;3,8;0,45;0,08;0,09;1;0,09
28;2;56,29482401;40,3236866;152;358;0;6,1;4;11;6,7;5;3,8;0,45;0,08;0,09;1;0,09
28;3;56,2949669;40,32772064;152;358;0;6,1;4;11;6,7;5;3,8;0,45;0,08;0,09;1;0,09
29;1;56,29544318;40,31188488;110;377;0;6,1;3;11;3,8;5;3,6;0,45;0,06;0,09;1;0,09
29;2;56,29501453;40,31596184;110;377;0;6,1;3;11;3,8;5;3,6;0,45;0,06;0,09;1;0,09
29;3;56,29672913;40,31596184;110;377;0;6,1;3;11;3,8;5;3,6;0,45;0,06;0,09;1;0,09
29;4;56,29672913;40,31141281;110;377;0;6,1;3;11;3,8;5;3,6;0,45;0,06;0,09;1;0,09
29;5;56,29772928;40,30703545;110;377;0;6,1;3;11;3,8;5;3,6;0,45;0,06;0,09;1;0,09
29;6;56,29801503;40,31132698;110;377;0;6,1;3;11;3,8;5;3,6;0,45;0,06;0,09;1;0,09
29;7;56,29982474;40,30694962;110;377;0;6,1;3;11;3,8;5;3,6;0,45;0,06;0,09;1;0,09
29;8;56,29996761;40,31141281;110;377;0;6,1;3;11;3,8;5;3,6;0,45;0,06;0,09;1;0,09
30;1;56,29658625;40,3194809;161;529;0;5,6;4,2;12,5;4;7,2;4;0,6;0,06;0,07;1,41;0,13
30;2;56,29658625;40,32377243;161;529;0;5,6;4,2;12,5;4;7,2;4;0,6;0,06;0,07;1,41;0,13
30;3;56,29677675;40,32754898;161;529;0;5,6;4,2;12,5;4;7,2;4;0,6;0,06;0,07;1,41;0,13
30;4;56,29820553;40,32746315;161;529;0;5,6;4,2;12,5;4;7,2;4;0,6;0,06;0,07;1,41;0,13
30;5;56,29811028;40,3236866;161;529;0;5,6;4,2;12,5;4;7,2;4;0,6;0,06;0,07;1,41;0,13
30;6;56,2979674;40,31939507;161;529;0;5,6;4,2;12,5;4;7,2;4;0,6;0,06;0,07;1,41;0,13
30;7;56,29787215;40,31579018;161;529;0;5,6;4,2;12,5;4;7,2;4;0,6;0,06;0,07;1,41;0,13
31;1;56,29996761;40,31579018;171;613;0;5,8;3,8;12,5;4;7,2;4;0,6;0,06;0,07;1,41;0,13
31;2;56,30006285;40,31930923;171;613;0;5,8;3,8;12,5;4;7,2;4;0,6;0,06;0,07;1,41;0,13
31;3;56,30025334;40,3236866;171;613;0;5,8;3,8;12,5;4;7,2;4;0,6;0,06;0,07;1,41;0,13
31;4;56,30020572;40,32746315;171;613;0;5,8;3,8;12,5;4;7,2;4;0,6;0,06;0,07;1,41;0,13
32;1;56,30192009;40,30257225;165;564;0;6;5,6;15;3,5;3;3,5;0,5;0,09;0,06;1;0,11
32;2;56,30230105;40,30686378;165;564;0;6;5,6;15;3,5;3;3,5;0,5;0,09;0,06;1;0,11
32;3;56,30239629;40,31158447;165;564;0;6;5,6;15;3,5;3;3,5;0,5;0,09;0,06;1;0,11
32;4;56,30258677;40,31570435;165;564;0;6;5,6;15;3,5;3;3,5;0,5;0,09;0,06;1;0,11
32;5;56,30272963;40,31913757;165;564;0;6;5,6;15;3,5;3;3,5;0,5;0,09;0,06;1;0,11
32;6;56,30282487;40,32360077;165;564;0;6;5,6;15;3,5;3;3,5;0,5;0,09;0,06;1;0,11
32;7;56,30296772;40,32729149;165;564;0;6;5,6;15;3,5;3;3,5;0,5;0,09;0,06;1;0,11
33;1;56,30411056;40,30248642;152,7;549,2;0;6,1;3,9;12,5;3,05;6,1;3,05;0,16;0,07;0,08;1,16;0,15
33;2;56,30411056;40,30677795;152,7;549,2;0;6,1;3,9;12,5;3,05;6,1;3,05;0,16;0,07;0,08;1,16;0,15
33;3;56,30415818;40,31149864;152,7;549,2;0;6,1;3,9;12,5;3,05;6,1;3,05;0,16;0,07;0,08;1,16;0,15
33;4;56,3042058;40,31553268;152,7;549,2;0;6,1;3,9;12,5;3,05;6,1;3,05;0,16;0,07;0,08;1,16;0,15
33;5;56,30430103;40,31905174;152,7;549,2;0;6,1;3,9;12,5;3,05;6,1;3,05;0,16;0,07;0,08;1,16;0,15
33;6;56,30453912;40,32342911;152,7;549,2;0;6,1;3,9;12,5;3,05;6,1;3,05;0,16;0,07;0,08;1,16;0,15
33;7;56,30472958;40,32720566;152,7;549,2;0;6,1;3,9;12,5;3,05;6,1;3,05;0,16;0,07;0,08;1,16;0,15
34;1;56,30611045;40,30248642;168,4;450;0;6,3;3,7;13,6;3,4;2,9;3,4;0,31;0,08;0,05;1,22;0,09
34;2;56,30625329;40,30669212;168,4;450;0;6,3;3,7;13,6;3,4;2,9;3,4;0,31;0,08;0,05;1,22;0,09
34;3;56,30620568;40,31158447;168,4;450;0;6,3;3,7;13,6;3,4;2,9;3,4;0,31;0,08;0,05;1,22;0,09
34;4;56,30649136;40,31527519;168,4;450;0;6,3;3,7;13,6;3,4;2,9;3,4;0,31;0,08;0,05;1,22;0,09
34;5;56,30663421;40,31888008;168,4;450;0;6,3;3,7;13,6;3,4;2,9;3,4;0,31;0,08;0,05;1,22;0,09
34;6;56,30672944;40,32299995;168,4;450;0;6,3;3,7;13,6;3,4;2,9;3,4;0,31;0,08;0,05;1,22;0,09
34;7;56,30691989;40,32634735;168,4;450;0;6,3;3,7;13,6;3,4;2,9;3,4;0,31;0,08;0,05;1,22;0,09
35;1;56,30830068;40,30248642;221;782;0;5,8;3,8;14;4,5;0,8;4,5;0,5;0,08;0,07;0,86;0,16
35;2;56,3083959;40,30669212;221;782;0;5,8;3,8;14;4,5;0,8;4,5;0,5;0,08;0,07;0,86;0,16
35;3;56,30844351;40,31158447;221;782;0;5,8;3,8;14;4,5;0,8;4,5;0,5;0,08;0,07;0,86;0,16
35;4;56,30863396;40,3150177;221;782;0;5,8;3,8;14;4,5;0,8;4,5;0,5;0,08;0,07;0,86;0,16
35;5;56,30882441;40,31879425;221;782;0;5,8;3,8;14;4,5;0,8;4,5;0,5;0,08;0,07;0,86;0,16
35;6;56,30891963;40,32274246;221;782;0;5,8;3,8;14;4,5;0,8;4,5;0,5;0,08;0,07;0,86;0,16
35;7;56,30901485;40,32608986;221;782;0;5,8;3,8;14;4,5;0,8;4,5;0,5;0,08;0,07;0,86;0,16
36;1;56,31053839;40,3021431;266;771,5;0;6;3,6;10,3;3,2;1,9;3,2;0,35;0,09;0,08;1,01;0,1
36;2;56,310586;40,30660629;266;771,5;0;6;3,6;10,3;3,2;1,9;3,2;0,35;0,09;0,08;1,01;0,1
36;3;56,31063361;40,31141281;266;771,5;0;6;3,6;10,3;3,2;1,9;3,2;0,35;0,09;0,08;1,01;0,1
36;4;56,31087166;40,31476021;266;771,5;0;6;3,6;10,3;3,2;1,9;3,2;0,35;0,09;0,08;1,01;0,1
36;5;56,31087166;40,31888008;266;771,5;0;6;3,6;10,3;3,2;1,9;3,2;0,35;0,09;0,08;1,01;0,1
36;6;56,31101448;40,32231331;266;771,5;0;6;3,6;10,3;3,2;1,9;3,2;0,35;0,09;0,08;1,01;0,1
36;7;56,3111097;40,3259182;266;771,5;0;6;3,6;10,3;3,2;1,9;3,2;0,35;0,09;0,08;1,01;0,1
37;1;56,31253794;40,30205727;161,5;553,2;0;6,3;4,8;12,6;3,35;2,3;3,35;0,35;0,08;0,06;0,87;0,12
37;2;56,31258555;40,30660629;161,5;553,2;0;6,3;4,8;12,6;3,35;2,3;3,35;0,35;0,08;0,06;0,87;0,12
37;3;56,31277597;40,31124115;161,5;553,2;0;6,3;4,8;12,6;3,35;2,3;3,35;0,35;0,08;0,06;0,87;0,12
37;4;56,31282358;40,31484604;161,5;553,2;0;6,3;4,8;12,6;3,35;2,3;3,35;0,35;0,08;0,06;0,87;0,12
37;5;56,31301401;40,31879425;161,5;553,2;0;6,3;4,8;12,6;3,35;2,3;3,35;0,35;0,08;0,06;0,87;0,12
37;6;56,31310922;40,32214165;161,5;553,2;0;6,3;4,8;12,6;3,35;2,3;3,35;0,35;0,08;0,06;0,87;0,12
37;7;56,31329964;40,32566071;161,5;553,2;0;6,3;4,8;12,6;3,35;2,3;3,35;0,35;0,08;0,06;0,87;0,12
38;1;56,3146802;40,3018856;151;574;0;5,8;4,6;12,5;2,8;4,5;2,8;0,25;0,06;0,05;1,12;0,09
38;2;56,31487061;40,30643463;151;574;0;5,8;4,6;12,5;2,8;4,5;2,8;0,25;0,06;0,05;1,12;0,09
38;3;56,31482301;40,31124115;151;574;0;5,8;4,6;12,5;2,8;4,5;2,8;0,25;0,06;0,05;1,12;0,09
38;4;56,31482301;40,31493187;151;574;0;5,8;4,6;12,5;2,8;4,5;2,8;0,25;0,06;0,05;1,12;0,09
38;5;56,31496582;40,31870842;151;574;0;5,8;4,6;12,5;2,8;4,5;2,8;0,25;0,06;0,05;1,12;0,09
38;6;56,31496582;40,32196999;151;574;0;5,8;4,6;12,5;2,8;4,5;2,8;0,25;0,06;0,05;1,12;0,09
38;7;56,31529905;40,32548904;151;574;0;5,8;4,6;12,5;2,8;4,5;2,8;0,25;0,06;0,05;1,12;0,09
